Year,Lat,Lon,Sirex_Presence
2014,-25.14805,30.98356,No Sirex
2014,-25.16876,30.65749,No Sirex
2014,-25.182927,30.735457,No Sirex
2014,-25.188015,30.67441,No Sirex
2014,-25.19048,30.94635,No Sirex
2014,-25.19937,30.72642,No Sirex
2014,-25.19855,30.84661,No Sirex
2014,-25.205741,30.546002,No Sirex
2014,-25.20291,30.97713,No Sirex
2014,-25.2061,30.75758,No Sirex
2014,-25.215967,30.936265,No Sirex
2014,-25.214296,30.909945,No Sirex
2014,-25.223425,30.62813,No Sirex
2014,-25.23473,30.90604,No Sirex
2014,-25.242674,30.471968,No Sirex
2014,-25.244043,30.490484,No Sirex
2014,-25.24949,30.85855,No Sirex
2014,-25.265707,30.969223,No Sirex
2014,-25.250214,30.517772,No Sirex
2014,-25.25865,30.59647,No Sirex
2014,-25.221065,30.718746,No Sirex
